msoa11cd,Asthma,COPD,Chronic Kidney Disease,Coronary Heart Disease,Diabetes,High Blood Pressure,Obesity
E02005429,0.07882622968510306,0.05066754919877262,0.11579411886983264,0.0788238004107879,0.1401087458650916,0.25073112577175616,0.16459713477470211
E02005428,0.08045655435688033,0.04772656712093299,0.11668721418452464,0.075789305692575,0.13062514794507837,0.24863742804488714,0.1580159777298813
E02004584,0.06875692954312489,0.04926166645685062,0.09690852401224871,0.06912079697192455,0.10822084964083542,0.30047688023173924,0.1408938003545233
E02002685,0.07540220910379263,0.04163941074671226,0.06812988538772138,0.06558428564409849,0.099449200385948,0.21658365375691585,0.17827801234266838
E02004250,0.07194727212063086,0.024433331400415034,0.06916955909471709,0.06546647541999903,0.07894943635189877,0.2138409202853045,0.09812536118749124
E02006549,0.0630605418483796,0.01918332106270048,0.08154903042728717,0.06517513438251721,0.08977391790670844,0.2477809982195546,0.0779779938621714
E02002687,0.07500319997126677,0.041008779029728375,0.06603357830319648,0.06470407697525334,0.09908255114445529,0.21534888429686486,0.17401555188102988
E02002684,0.07656738869787437,0.04081645188095083,0.06682259430888957,0.06459015148159758,0.09885215540494785,0.21472402462426193,0.17802993009716653
E02002722,0.0741604188298198,0.044386228217470104,0.06778517265425109,0.0639102313295558,0.10842105539190024,0.19784325212222154,0.17556756053580783
E02002686,0.07584047909890086,0.04054632550375323,0.06452183893714517,0.06372566902484808,0.09844461530240059,0.21287271479964734,0.17610665350473845
E02002688,0.07554837147334031,0.04056385140309999,0.06400788894314931,0.06370831926437613,0.09859743560066861,0.2131283888133083,0.1721959521915673
E02005322,0.0680012640986171,0.043583405586284554,0.06294759304856923,0.06347440856808703,0.08750490952687853,0.21468359435869713,0.17104385461048757
E02004253,0.07130569674476434,0.02393603780646498,0.06647402472184999,0.06323763625673365,0.07715112239938422,0.20691903258069777,0.09796195499038421
E02005576,0.09263367893510348,0.037604052997702093,0.08129362715575918,0.06317287696686297,0.08880148279181008,0.21089300534967664,0.15663891132058444
E02004238,0.0742315038482953,0.02240766665732412,0.07553379820749305,0.06275907221054738,0.07439358018276632,0.22228005374965845,0.06315296736109133
E02005808,0.08256754420547174,0.021939910211626928,0.047076873731604026,0.06260382098640194,0.09007139669535166,0.20736464917134037,0.15379626243492997
E02005437,0.07068561834572072,0.04097360722544565,0.10185479639003518,0.06162663439779758,0.10463376398155476,0.2121853806070076,0.16767173720428935
E02005438,0.07071993397778904,0.040840848620330626,0.1018392146023702,0.06161008195097374,0.10423454621879392,0.21198221319768498,0.16716851430809931
E02005435,0.07040580964365276,0.041985207268844194,0.10195435789456067,0.061559194048575946,0.10732608607568084,0.2133106503057611,0.1716551204366085
E02005433,0.06932636353995125,0.04503381097638999,0.10173619349987108,0.061195390082126266,0.11630658640204188,0.2170504726878798,0.1832807033859289
E02004578,0.06952253653602423,0.03467175287001278,0.04860661762967855,0.06114598085975057,0.09256294370937458,0.23696600484892713,0.12811815887744665
E02004248,0.07495731878925611,0.026601342333309665,0.06068787879955615,0.061006528187276025,0.07606890183668977,0.2124225327743855,0.087125061899051
E02005440,0.07170704543831975,0.03709912554909894,0.10111559579087662,0.06002806055136168,0.09849579130675393,0.20790392716876074,0.15054723466092595
E02004239,0.07135452758268657,0.021582352515468393,0.06962173931006031,0.05968125120194911,0.07374372406848612,0.20791374139523097,0.06475440193663054
E02005570,0.08975823586761103,0.03479549803882587,0.08675722864894314,0.05904453387353445,0.08486479381486772,0.2156173581066928,0.11277910278813592
E02004268,0.06992928556992892,0.033231854808345784,0.11234525750998763,0.058880801249163166,0.07518391332848043,0.19253818614362564,0.09571405275530123
E02001659,0.08366684564141277,0.03581131783324009,0.07105477028632456,0.05858520156719314,0.08298539669341069,0.16708374591313024,0.14939024070346377
E02005326,0.07011308566182853,0.03574455543038861,0.07866216823976217,0.057770176431510056,0.08708223251239156,0.2131096581343329,0.13925712421482317
E02001654,0.08215618654743397,0.03488536664033705,0.06918987535746507,0.057570576592073666,0.08171381609237506,0.16784012242138927,0.14364655423860787
E02001825,0.05980659126946007,0.03597152467305722,0.053726067180965384,0.0574994815629731,0.08492339763820685,0.1990246449150865,0.15351800990391598
E02002689,0.08339069060952357,0.03198101286038709,0.05926885090214506,0.05746992894777036,0.08833734068418087,0.20117095215762687,0.14629850458213575
